# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	96130
#@/user_id	c768ef2d-e87d-4330-bf27-256461b2f71b
a 	啊	c=30 d=1.66212e-07 t=96130
bu gan mao 	不感冒	c=1 d=3.58919e-05 t=96130
bu gan xing qu 	不感興趣	c=1 d=1 t=35621
bu gao 	不搞	c=1 d=1 t=86912
bu gei 	不给	c=2 d=2.47487e-05 t=96130
bu gei 	補給	c=1 d=1.21279e-05 t=96130
bu gen 	不跟	c=1 d=1 t=26869
bu geng xin 	不更新	c=2 d=0.000363402 t=96130
bu gou 	不夠	c=4 d=1 t=59020
bu gou cheng 	不構成	c=1 d=1 t=87353
bu gou duo 	不够多	c=1 d=1 t=75429
bu guan 	不管	c=10 d=2.68009e-10 t=96130
bu guan bi 	不關閉	c=1 d=1 t=24565
bu guan ji 	不关机	c=2 d=1 t=62834
bu guan le 	不管了	c=2 d=1.42741 t=41434
bu gui hua 	不規劃	c=1 d=1 t=37192
bu gui lv 	不规律	c=1 d=1.57859e-18 t=96130
bu guo 	不過	c=10 d=0.000193545 t=96130
bu hao 	不好	c=13 d=1.41197e-09 t=96130
bu hao kan 	不好看	c=1 d=1 t=44945
bu hao yi si 	不好意思	c=3 d=0.00138785 t=96130
bu he 	不合	c=1 d=1 t=41867
bu he ge 	不合格	c=1 d=1 t=86898
bu he shi 	不合適	c=4 d=1.71245e-05 t=96130
bu hui 	不會	c=58 d=0.0420036 t=96130
bu hui si 	不会死	c=1 d=8.61881e-17 t=96130
bu hui you 	不會有	c=1 d=1 t=92346
bu huo 	捕獲	c=1 d=1 t=61358
bu ji 	不急	c=1 d=2.52402e-10 t=96130
bu ji 	補極	c=1 d=1 t=37731
bu ji 	補給	c=1 d=1 t=37734
bu ji suan 	不计算	c=1 d=2.60133e-12 t=96130
bu ji zhong 	不集中	c=2 d=1 t=44329
bu jia 	不加	c=6 d=2.38398e-07 t=96130
bu jiang 	不講	c=2 d=1 t=81722
bu jin 	不僅	c=1 d=1 t=27187
bu jin ru 	不进入	c=1 d=0.00126207 t=96130
bu jiu 	不久	c=1 d=1 t=24171
bu jiu 	不就	c=1 d=1 t=48638
bu jiu hou 	不久後	c=1 d=1 t=55776
bu ju 	佈局	c=10 d=1.84325e-18 t=96130
bu ju bei 	不具備	c=1 d=2.97013e-13 t=96130
bu jun heng 	不均衡	c=1 d=7.74101e-18 t=96130
bu kai yuan 	不開源	c=1 d=1 t=37087
bu kan 	不看	c=2 d=1 t=36780
bu kan le 	不看了	c=1 d=1 t=84451
bu kan ni 	不看你	c=1 d=1 t=32033
bu kao 	不考	c=29 d=3.8236e-14 t=96130
bu kao 	補考	c=1 d=3.80453e-14 t=96130
bu ke 	不可	c=10 d=0.00737249 t=96130
bu ke bi 	不可比	c=0 d=0.1 t=53113
bu ke bi mian 	不可避免	c=3 d=1 t=53104
bu ke bi ming an 	不可比明安	c=1 d=1 t=53114
bu ke bian 	不可变	c=1 d=1 t=55262
bu ke jian 	不可見	c=2 d=1.10593 t=41749
bu ke neng 	不可能	c=1 d=1 t=27443
bu ke qi 	不客氣	c=2 d=1 t=39389
bu ke si yi 	不可思議	c=1 d=1 t=92012
bu ke yi 	不可以	c=5 d=0.00216573 t=96130
bu ke yong 	不可用	c=2 d=1 t=47116
bu lai 	不來	c=1 d=1 t=78609
bu li jie 	不理解	c=2 d=4.36272e-07 t=96130
bu li jie 	布里傑	c=1 d=4.34096e-07 t=96130
bu li yu 	不利於	c=2 d=1.00482 t=60967
bu lian guan 	不连贯	c=1 d=1 t=20645
bu lian xu 	不連續	c=1 d=1 t=84172
bu liang 	不良	c=1 d=1 t=22745
bu liao 	不了	c=10 d=4.40582e-05 t=96130
bu liao 	不聊	c=1 d=1 t=31004
bu liao le 	不了了	c=0 d=0.1 t=79299
bu lu bang 	不魯棒	c=1 d=9.22144e-18 t=96130
bu luo 	部落	c=4 d=1.00067 t=29918
bu ma 	補碼	c=1 d=1 t=27799
bu mei hao 	不美好	c=1 d=1 t=87389
bu men 	部門	c=3 d=5.08447e-14 t=96130
bu min zhu 	不民主	c=1 d=1 t=43659
bu mo hu 	不模糊	c=1 d=1 t=42327
bu na me 	不那麼	c=1 d=1 t=41491
bu nai xin 	不耐心	c=1 d=1 t=41967
bu nai xing 	不耐性	c=1 d=1 t=41966
bu ne 	布呢	c=2 d=0.1 t=42552
bu ne ge 	布呢個	c=1 d=1 t=42553
bu neng 	不能	c=92 d=0.0629761 t=96130
bu ni ne ge 	不你呢個	c=1 d=1 t=42314
bu nu li 	不努力	c=1 d=1 t=45108
bu pei 	不賠	c=1 d=1 t=30930
bu peng 	不碰	c=2 d=1 t=85909
bu qi 	不起	c=1 d=3.43125e-05 t=96130
bu qi 	補齊	c=26 d=2.00146e-11 t=96130
bu qi lai 	不起來	c=1 d=5.96262e-06 t=96130
bu qian 	不前	c=1 d=1 t=49918
bu qiang zhi 	不强制	c=1 d=1 t=29604
bu qing chu 	不清楚	c=2 d=1 t=95129
bu qu 	不去	c=4 d=2.65523e-18 t=96130
bu quan 	不全	c=1 d=1 t=23203
bu quan 	補全	c=24 d=9.08671e-10 t=96130
bu que ding 	不確定	c=3 d=1 t=65248
bu ran 	不然	c=7 d=0.000485661 t=96130
bu rang 	不讓	c=13 d=0.000471307 t=96130
bu rang dai 	不讓帶	c=1 d=1 t=43280
bu ren wei 	不認爲	c=1 d=5.82947e-05 t=96130
bu rong yi 	不容易	c=2 d=9.54991e-18 t=96130
bu ru 	不如	c=4 d=1.16399e-05 t=96130
bu shang 	不赏	c=0 d=0.1 t=22076
bu shang 	補上	c=1 d=1 t=54757
bu shao 	不少	c=3 d=1.97045 t=78742
bu shao yu 	不少於	c=7 d=1 t=94547
bu she wei 	不设为	c=1 d=1 t=50691
bu she zhi 	不设置	c=1 d=1 t=76188
bu shi 	不时	c=3 d=9.49675e-08 t=96130
bu shi 	不是	c=121 d=0.229928 t=96130
bu shi 	捕食	c=1 d=1 t=75287
bu shi he 	不適合	c=1 d=0.00421123 t=96130
bu shi yong 	不使用	c=5 d=1 t=81096
bu shou 	不受	c=4 d=1 t=75902
bu shou 	不寿	c=1 d=1 t=57161
bu shou xian 	不受限	c=2 d=1.8825 t=38994
bu shu 	不熟	c=2 d=7.58902e-20 t=96130
bu shu 	部署	c=18 d=0.0100079 t=96130
bu shu fu 	不舒服	c=3 d=2.64416 t=38483
bu shu ji 	捕鼠機	c=1 d=1 t=21225
bu shu yu 	不屬於	c=2 d=1.11707 t=26918
bu shuang 	不爽	c=1 d=1 t=39738
bu shuo 	不說	c=4 d=0.00148106 t=96130
bu shuo dian 	不說點	c=1 d=1.75157e-06 t=96130
bu su 	步速	c=1 d=1 t=43357
bu suan 	不算	c=1 d=1 t=20014
bu tai 	不太	c=5 d=0.045734 t=96130
bu tai you hao 	不太友好	c=1 d=1 t=79669
bu tan 	不談	c=1 d=1 t=44413
bu ti 	不提	c=1 d=1 t=38597
bu ti huan 	不替換	c=1 d=1 t=77059
bu ti shi 	不提示	c=1 d=1 t=33887
bu tong 	不同	c=96 d=0.00556501 t=96130
bu tong dian 	不同點	c=2 d=2.02695e-18 t=96130
bu tong duan 	不同端	c=1 d=1 t=86064
bu tong guo 	不通過	c=1 d=1 t=51001
bu tong yi 	不同意	c=1 d=1 t=35736
bu tou qi 	不透氣	c=1 d=1 t=45443
bu tou ying 	不投影	c=1 d=1 t=59637
bu tui jian 	不推薦	c=1 d=1 t=77051
bu wai chu 	不外出	c=1 d=1 t=24104
bu wan quan 	不完全	c=2 d=1 t=43156
bu wan zheng 	不完整	c=1 d=1 t=83743
bu wei 	不爲	c=1 d=1 t=66315
bu wei 	部位	c=6 d=1 t=49153
bu wen ding 	不穩定	c=3 d=1 t=87986
bu xi 	不系	c=1 d=1 t=38404
bu xi huan 	不喜歡	c=6 d=1 t=75142
bu xi wang 	不希望	c=2 d=1 t=71907
bu xia qu 	不下去	c=2 d=1 t=75418
bu xian shi 	不顯示	c=9 d=0.00514361 t=96130
bu xiang 	不像	c=3 d=1 t=84454
bu xiang 	不想	c=14 d=2.34244e-14 t=96130
bu xiang lin 	不相邻	c=1 d=6.33996e-22 t=96130
bu xiang pao 	不想跑	c=1 d=8.46137e-06 t=96130
bu xiang xiang 	不想想	c=1 d=1 t=89367
bu xiang zuo 	不想做	c=1 d=0.000323925 t=96130
bu xiao xin 	不小心	c=2 d=1.73712 t=75616
bu xiao yu 	不小於	c=1 d=1.75306e-16 t=96130
bu xin 	不信	c=1 d=1 t=32050
bu xin ren 	不信任	c=1 d=1 t=24338
bu xing 	不行	c=13 d=3.8408e-08 t=96130
bu xu yao 	不需要	c=22 d=5.87485e-08 t=96130
bu xu yao yao 	不需要要	c=1 d=1 t=35097
bu xuan 	不選	c=1 d=1 t=21769
bu yao 	不要	c=40 d=0.0133665 t=96130
bu yao qiu 	不要求	c=1 d=1 t=82626
bu yao yan 	不要演	c=1 d=4.58718e-09 t=96130
bu yi 	不以	c=1 d=1 t=45181
bu yi 	不译	c=1 d=1 t=73816
bu yi ding 	不一定	c=8 d=1.44946e-14 t=96130
bu yi yang 	不一樣	c=9 d=9.75974e-09 t=96130
bu yi zhi 	不一致	c=2 d=2.88039e-05 t=96130
bu ying gai 	不應該	c=11 d=9.71106e-09 t=96130
bu yong 	不用	c=19 d=1.09086 t=96130
bu you zi zhu 	不由自主	c=1 d=1 t=45134
bu yu kuai 	不愉快	c=3 d=2.80146 t=20693
bu yuan yi 	不願意	c=1 d=1 t=25206
bu yun xu 	不允許	c=1 d=1 t=42742
bu zai 	不再	c=14 d=3.67135e-06 t=96130
bu zai 	不在	c=2 d=1 t=88357
bu zhang 	部長	c=3 d=5.63205e-17 t=96130
bu zhe dang 	不遮擋	c=2 d=1.49907 t=41878
bu zheng que 	不正確	c=2 d=1 t=62949
bu zhi 	不止	c=2 d=0.718924 t=96130
bu zhi chi 	不支持	c=4 d=3.64752e-10 t=96130
bu zhi dao 	不知道	c=30 d=0.551563 t=96130
bu zhi de 	不值得	c=1 d=1 t=35517
bu zhi pi juan 	不知疲倦	c=1 d=1 t=75051
bu zhi yu 	不至於	c=1 d=1 t=70813
bu zhong yao 	不重要	c=2 d=1 t=80770
bu zhou 	步驟	c=24 d=1.77893 t=96130
bu zhu 	不住	c=3 d=2.03572e-10 t=96130
bu zhuo 	捕捉	c=6 d=1 t=61187
bu zi jue 	不自覺	c=1 d=0.00170362 t=96130
bu zi ti 	不字體	c=1 d=1 t=35017
bu zou 	不走	c=2 d=1.67706 t=22130
bu zu 	不足	c=3 d=7.74227e-12 t=96130
bu zuo 	不做	c=6 d=1 t=88384
ca xie 	擦寫	c=1 d=1 t=46566
cai 	才	c=14 d=1.73671e-07 t=96130
cai 	猜	c=1 d=1 t=91480
cai 	菜	c=3 d=1 t=68458
cai 	財	c=1 d=1 t=52552
cai ang 	才昂	c=1 d=1 t=83400
cai cai 	猜猜	c=2 d=1 t=89497
cai ce 	猜測	c=1 d=1 t=82180
cai dan 	菜單	c=2 d=3.38189e-11 t=96130
cai dan lan 	菜單欄	c=1 d=1 t=90632
cai dao 	猜到	c=1 d=1 t=40891
cai fa xian 	纔發現	c=1 d=1.70038e-10 t=96130
cai gou 	採購	c=1 d=1 t=91423
cai huai 	踩壞	c=1 d=1 t=39975
cai hui 	纔會	c=2 d=1 t=88277
cai ji 	採集	c=2 d=2.97588e-17 t=96130
cai jian 	裁剪	c=1 d=2.3721e-15 t=96130
cai ju bei 	才具備	c=1 d=1 t=61336
cai ke yi 	纔可以	c=1 d=1 t=78423
cai lai 	纔來	c=1 d=1 t=20325
cai lai dao 	纔來到	c=1 d=1 t=32083
cai lao 	蔡老	c=0 d=0.1 t=90872
cai lao ban 	蔡老板	c=2 d=1.6005 t=90975
cai liao 	材料	c=106 d=1.22153 t=96130
cai neng 	才能	c=22 d=0.0972957 t=96130
cai ni ne ge 	才你呢個	c=1 d=1.88049e-18 t=96130
cai niao 	菜鳥	c=2 d=1.29091e-14 t=96130
cai qu 	採取	c=1 d=1 t=44570
cai se 	彩色	c=3 d=7.91655e-09 t=96130
cai shi 	纔是	c=12 d=7.46795e-08 t=96130
cai shui 	纔睡	c=1 d=1.01177e-20 t=96130
cai wei 	才爲	c=1 d=1 t=92709
cai xiang 	猜想	c=1 d=0.0333733 t=96130
cai xing 	纔行	c=3 d=2.98506 t=27575
cai xu 	蔡序	c=0 d=0.1 t=19043
cai xu kun 	蔡序坤	c=1 d=1 t=19044
cai yang 	採樣	c=29 d=4.43379e-11 t=96130
cai yong 	採用	c=18 d=1.17108e-05 t=96130
cai you 	纔有	c=2 d=2.01512e-08 t=96130
cai zhai 	採摘	c=1 d=1 t=75029
cai zi you 	菜籽油	c=1 d=1 t=47481
can 	慘	c=1 d=1 t=49482
can cha 	殘差	c=17 d=0.0123389 t=96130
can cha lian jie ei 	殘差連接誒	c=1 d=1 t=60817
can dan 	慘淡	c=1 d=1 t=80245
can guan le 	参观了	c=1 d=1 t=38657
can jia 	參加	c=13 d=0.00161859 t=96130
can jia ai 	參加愛	c=2 d=1 t=70916
can kao 	參考	c=38 d=0.00739014 t=96130
can lan 	燦爛	c=1 d=1 t=32041
can sai 	參賽	c=1 d=9.50228e-18 t=96130
can sha 	殘殺	c=1 d=1 t=50531
can shu 	參數	c=70 d=0.469362 t=96130
can shu cu 	參數簇	c=1 d=1 t=51288
can si 	慘死	c=1 d=1 t=48917
can tian 	參天	c=1 d=1 t=73700
can yan 	參演	c=1 d=1 t=74756
can yu 	參與	c=18 d=0.00132678 t=96130
can yu zhe 	參與者	c=1 d=1 t=75726
can zhao 	參照	c=3 d=1 t=95511
cang ku 	倉庫	c=1 d=1 t=90915
cang sheng 	蒼生	c=1 d=1 t=43331
cang yong 	藏用	c=1 d=1 t=36439
cao 	曹	c=2 d=1 t=42979
cao chang 	操場	c=1 d=4.92146e-13 t=96130
cao gao 	草稿	c=1 d=1 t=64272
cao gao zhi 	草稿紙	c=1 d=1.49335e-12 t=96130
cao mei 	草莓	c=3 d=1 t=35559
cao ping 	草坪	c=1 d=1 t=73716
cao yuan 	草原	c=1 d=1 t=77946
cao zuo 	操作	c=81 d=0.526362 t=96130
cao zuo biao 	操作表	c=1 d=5.12319e-15 t=96130
cao zuo ti 	操作题	c=2 d=0.000186888 t=96130
ce 	側	c=3 d=1 t=65881
ce bian lan 	側邊欄	c=2 d=1.26031e-16 t=96130
ce ding 	測定	c=1 d=2.35947e-11 t=96130
ce hua 	策劃	c=20 d=0.106459 t=96130
ce hua an 	策划案	c=10 d=0.0372538 t=96130
ce hua bu 	策划部	c=1 d=5.56141e-10 t=96130
ce hua shu 	策划书	c=8 d=0.352158 t=96130
ce lian 	側鏈	c=1 d=1 t=41625
ce lue 	策略	c=12 d=0.0330412 t=96130
ce pian 	测片	c=1 d=1 t=42046
ce shi 	測試	c=37 d=4.80519e-06 t=96130
ce shi ji 	測濕計	c=1 d=2.16308e-18 t=96130
ce shi ji 	測試集	c=21 d=2.19883e-05 t=96130
ce shi lei 	测试类	c=3 d=2.12826 t=21076
ce suo 	廁所	c=2 d=1.01168 t=36683
ce wen 	測溫	c=8 d=1.08567e-16 t=96130
ce xu 	測序	c=6 d=1.00001 t=95752
ce zhong yu 	側重於	c=4 d=1.97045 t=80766
ceng 	層	c=77 d=0.115198 t=96130
ceng ci 	層次	c=9 d=4.24474e-08 t=96130
ceng ci ju lei 	層次聚類	c=1 d=1.18938e-11 t=96130
ceng ci mo xing 	層次模型	c=1 d=6.8491e-19 t=96130
ceng ji 	層級	c=1 d=6.4015e-18 t=96130
ceng jing 	曾經	c=3 d=3.65721e-20 t=96130
ceng shu 	層數	c=4 d=4.13054e-15 t=96130
ceng xu 	層序	c=7 d=2.6848 t=55116
cha 	叉	c=1 d=8.89973e-12 t=96130
cha 	差	c=8 d=1 t=91754
cha 	插	c=4 d=1.21654 t=89106
cha 	查	c=7 d=0.000581442 t=96130
cha biao 	查表	c=9 d=1.12754 t=76099
cha bu duo 	差不多	c=4 d=4.21338e-09 t=96130
cha dian 	差點	c=1 d=1 t=76302
cha dui 	插隊	c=1 d=1 t=37920
cha jian 	插件	c=25 d=0.000123405 t=96130
cha jian an 	插件按	c=1 d=1 t=75535
cha ju 	差距	c=1 d=1 t=74234
cha kan 	查看	c=57 d=0.00964994 t=96130
cha kan ni 	查看你	c=1 d=1 t=74840
cha kan yi xia 	查看一下	c=1 d=2.04523e-06 t=96130
cha ping 	差評	c=1 d=1.77345e-05 t=96130
cha ru 	插入	c=41 d=0.0287252 t=96130
cha se 	茶色	c=1 d=1 t=65807
cha xun 	查詢	c=5 d=1 t=74643
cha xun dao 	查詢到	c=1 d=1 t=85089
cha yi 	差異	c=7 d=1.85571e-09 t=96130
cha yi hua 	差異化	c=1 d=1 t=75883
cha yi xia 	查一下	c=1 d=1 t=40350
cha yi xing 	差異性	c=1 d=1 t=53832
cha zhao 	查找	c=56 d=0.00055559 t=96130
cha zhao biao 	查找表	c=1 d=1 t=87575
cha zhi 	差值	c=3 d=9.70456e-13 t=96130
chai fen 	拆分	c=4 d=1 t=85910
chai ji 	拆機	c=1 d=1 t=77275
chan chan 	剷剷	c=15 d=4.31298e-11 t=96130
chan chu 	產出	c=4 d=0.000724521 t=96130
chan dong 	顫動	c=1 d=1 t=75087
chan mei 	諂媚	c=1 d=1 t=49489
chan ming 	闡明	c=1 d=1 t=75277
chan pin 	產品	c=10 d=0.000182274 t=96130
chan shen 	纏身	c=1 d=1 t=74926
chan sheng 	產生	c=11 d=5.12144e-11 t=96130
chan ye 	產業	c=2 d=1 t=91333
chan ye lian 	產業鏈	c=2 d=1.99501 t=91337
chang 	唱	c=4 d=1 t=37231
chang 	常	c=8 d=1.60884e-06 t=96130
chang 	昌	c=3 d=4.56741e-17 t=96130
chang 	長	c=7 d=0.00674462 t=96130
chang chang 	常常	c=1 d=1 t=64328
chang chun 	长春	c=1 d=1 t=23818
chang cuo 	常错	c=1 d=1.00293e-05 t=96130
chang du 	長度	c=59 d=0.00986582 t=96130
chang ge 	唱歌	c=1 d=3.69208e-14 t=96130
chang guan ya 	長冠牙	c=0 d=0.1 t=19396
chang guan ya bu fei xue 	長冠牙不費血	c=1 d=1 t=19397
chang jian 	常见	c=22 d=0.0800591 t=96130
chang jian dao 	常见到	c=1 d=1 t=54803
chang jiang 	長將	c=1 d=1 t=21852
chang jiang 	長江	c=4 d=2.83181 t=78033
chang jiang shi 	長江是	c=1 d=1 t=78010
chang jing 	場景	c=2 d=2.99122e-08 t=96130
chang ju li 	長距離	c=3 d=1 t=61114
chang liang 	常量	c=1 d=1 t=90658
chang pian 	唱片	c=1 d=1 t=52495
chang qi 	長期	c=3 d=1 t=92181
chang qi yi lai 	長期以來	c=1 d=1 t=41437
chang shi 	嘗試	c=5 d=2.5079e-18 t=96130
chang shi 	常識	c=1 d=1 t=71688
chang shi jian 	長時間	c=2 d=1 t=94674
chang shu 	常數	c=2 d=1 t=87539
chang yi 	常以	c=1 d=2.9763e-08 t=96130
chang yi 	長椅	c=1 d=1 t=74757
chang yi lai 	長依賴	c=2 d=1.81465 t=58089
chang yong 	常用	c=12 d=1.02513 t=93570
chang yong yu 	常用于	c=3 d=1.01761e-08 t=96130
chang yong yu 	常用語	c=2 d=4.82271e-09 t=96130
chang yuan 	長遠	c=1 d=1 t=83901
chang zhi 	長治	c=1 d=1 t=58535
chao 	抄	c=2 d=1 t=35898
chao 	超	c=25 d=0.46746 t=96130
chao bu cuo 	超不錯	c=1 d=1 t=59754
chao can shu 	超參數	c=8 d=2.92669 t=95312
chao chao 	超超	c=1 d=6.01109e-13 t=96130
chao da 	超大	c=1 d=1 t=61041
chao dong 	朝東	c=1 d=1 t=26971
chao fan 	超凡	c=3 d=2.39513e-11 t=96130
chao guo 	超過	c=5 d=4.54154e-09 t=96130
chao ji 	超級	c=7 d=4.32546e-06 t=96130
chao jia 	吵架	c=1 d=1 t=30349
chao shi 	超時	c=2 d=0.83527 t=96130
chao xian 	超弦	c=1 d=1 t=61404
chao xiao 	超小	c=1 d=2.25055e-07 t=96130
chao xiao ping mu 	超小屏幕	c=1 d=2.11297e-07 t=96130
chao xiao xing 	超小型	c=1 d=1.64558e-07 t=96130
chao yang 	潮陽	c=1 d=1 t=43334
chao yu zhi 	超閾值	c=1 d=1.10916e-13 t=96130
chao zai 	超載	c=1 d=1 t=75015
chao zuo 	炒作	c=1 d=1 t=40858
che 	澈	c=1 d=1 t=24150
che 	車	c=28 d=1 t=76041
che che di di 	徹徹底底	c=1 d=1 t=84845
che di 	徹底	c=3 d=2.99794e-05 t=96130
che gao 	車高	c=1 d=1 t=80491
che hui 	撤回	c=4 d=1 t=75611
che lan 	车烂	c=1 d=1 t=24625
che liang 	車輛	c=13 d=6.26284 t=42115
che lun 	車輪	c=3 d=1.03686 t=42572
che pai 	車牌	c=7 d=2.22462 t=42623
che tou 	車頭	c=14 d=1.36105 t=42560
che wei 	車尾	c=6 d=1.14891 t=43262
che xiao 	撤銷	c=3 d=0.169483 t=96130
che xing 	車型	c=2 d=1.06393 t=42309
chen 	晨	c=2 d=1 t=50635
chen 	辰	c=1 d=1 t=37914
chen 	陳	c=19 d=1.9458 t=96130
chen ao 	陳奧	c=1 d=1 t=22844
chen dan 	陈旦	c=1 d=1 t=69286
chen jian 	陈建	c=1 d=1 t=66695
chen jin 	沉浸	c=1 d=1 t=77881
chen lao shi 	陳老師	c=4 d=1 t=90108
chen mi 	沉迷	c=2 d=1 t=45065
chen mo 	沉默	c=1 d=1 t=76023
chen rui 	陳銳	c=17 d=5.50166e-20 t=96130
chen shu 	陳述	c=1 d=1 t=29672
chen xi 	晨曦	c=5 d=2.08258e-13 t=96130
cheng 	城	c=1 d=1 t=89158
cheng 	成	c=89 d=0.00835668 t=96130
cheng 	程	c=4 d=2.20196e-13 t=96130
cheng 	稱	c=1 d=1 t=44972
cheng bai 	成百	c=1 d=1 t=61369
cheng ben 	成本	c=5 d=1.72176 t=69258
cheng dan 	承擔	c=2 d=1.79453 t=69333
cheng du 	成都	c=3 d=1 t=80325
cheng du 	程度	c=9 d=1.62189 t=84820
cheng fa 	乘法	c=6 d=1.84366 t=76143
cheng fa 	懲罰	c=1 d=1 t=70857
cheng fen 	成分	c=2 d=1 t=38463
cheng gong 	成功	c=15 d=0.000992781 t=96130
cheng guo 	成果	c=40 d=0.0453669 t=96130
cheng hu 	稱呼	c=2 d=4.67826e-05 t=96130
cheng ji 	乘積	c=1 d=1 t=38355
cheng ji 	成績	c=77 d=0.00175957 t=96130
cheng ji dan 	成績單	c=7 d=1.00051 t=29951
cheng lai si 	成萊斯	c=1 d=1 t=52006
cheng le 	成了	c=3 d=3.98826e-09 t=96130
cheng li 	成立	c=3 d=1 t=76646
cheng nuo 	承諾	c=1 d=1 t=75970
cheng qian qi hou 	承前启后	c=1 d=1 t=78215
cheng ran 	誠然	c=1 d=1 t=38029
cheng ren 	承認	c=2 d=1.99501 t=41441
cheng shang 	乘上	c=1 d=1 t=59728
cheng shou 	承受	c=1 d=1 t=32039
cheng wei 	成爲	c=17 d=0.00265848 t=96130
cheng wei 	稱爲	c=4 d=1 t=45666
cheng xian 	呈現	c=1 d=1 t=73782
cheng xian chu lai 	呈現出來	c=1 d=1 t=83929
cheng xin 	誠信	c=1 d=1 t=29974
cheng xing 	成行	c=1 d=1 t=34944
cheng xu 	程序	c=41 d=0.03052 t=96130
cheng xu wu 	程序塢	c=1 d=1 t=28938
cheng xu yuan 	程序員	c=1 d=1 t=39266
cheng yi 	乘以	c=8 d=2.53116 t=59730
cheng yu 	成語	c=9 d=1 t=80732
cheng yuan 	成員	c=9 d=1.46657e-05 t=96130
cheng yuan ma 	成員嗎	c=1 d=1 t=26603
cheng zhang 	成長	c=8 d=1.40204e-05 t=96130
cheng zhi wei 	稱之爲	c=2 d=1 t=82561
cheng zhong 	稱重	c=1 d=0.869358 t=96130
cheng zuo 	乘坐	c=1 d=1 t=41286
chi 	喫	c=43 d=0.597501 t=96130
chi 	赤	c=1 d=1 t=59046
chi bu de 	吃不得	c=1 d=1.63482e-18 t=96130
chi cu 	喫醋	c=1 d=1 t=29203
chi cun 	尺寸	c=6 d=8.76488e-11 t=96130
chi dao 	喫到	c=1 d=1 t=35552
chi de 	喫得	c=1 d=1 t=47454
chi fan 	喫飯	c=14 d=3.66169e-05 t=96130
chi fan qu 	喫飯去	c=1 d=1 t=20858
chi hua 	池化	c=7 d=4.5122e-08 t=96130
chi hua ceng 	池化層	c=2 d=3.23827e-09 t=96130
chi huo 	喫貨	c=1 d=2.00092e-13 t=96130
chi le 	喫了	c=1 d=1 t=61688
chi nan gen 	赤楠根	c=0 d=0.0559898 t=96130
chi rou 	喫肉	c=1 d=1 t=43989
chi shen me 	吃什麼	c=1 d=1 t=53338
chi shi 	喫屎	c=2 d=1 t=44797
chi wan 	喫完	c=2 d=1 t=85339
chi wan fan 	喫完飯	c=2 d=1 t=89661
chi xia qu 	喫下去	c=1 d=1 t=47472
chi xu 	持續	c=6 d=1.00002 t=78208
chi you 	持有	c=1 d=1 t=74803
chi yu 	喫魚	c=1 d=1 t=48749
chong 	寵	c=1 d=1 t=29225
chong 	衝	c=3 d=0.0256042 t=96130
chong chi 	充斥	c=1 d=1.98749e-22 t=96130
chong dang 	充當	c=1 d=1 t=74724
chong dian 	充電	c=8 d=0.00119453 t=96130
chong dian ma 	充電嗎	c=1 d=1 t=38169
chong dian qi 	充電器	c=2 d=1.08983e-12 t=96130
chong ding xiang 	重定向	c=1 d=1 t=85462
chong fa 	重發	c=2 d=1.79057 t=22269
chong fen 	充分	c=3 d=1 t=94670
chong fu 	重複	c=30 d=7.75513e-07 t=96130
chong gou 	重構	c=1 d=0.000161662 t=96130
chong gui 	重歸	c=1 d=1 t=30373
chong he 	重合	c=4 d=0.000246044 t=96130
chong ji 	衝擊	c=2 d=1 t=77447
chong kou 	衝口	c=1 d=1 t=77343
chong ming 	重名	c=3 d=1.07141 t=28692
chong qi 	重啓	c=2 d=1 t=40163
chong qing 	重慶	c=0 d=0.1 t=47256
chong qing a 	重慶啊	c=1 d=1 t=47257
chong su 	重塑	c=1 d=1 t=74649
chong ti 	重提	c=1 d=1 t=46035
chong tu 	衝突	c=21 d=0.00276372 t=96130
chong xie 	重寫	c=4 d=4.02867e-11 t=96130
chong xin 	重新	c=13 d=2.90934e-05 t=96130
chong zao 	沖澡	c=2 d=0.050195 t=96130
chong zhi 	充值	c=1 d=1 t=64955
chong zhi 	重置	c=7 d=4.95839e-06 t=96130
chong zhuang 	重裝	c=2 d=1.96561 t=75588
chong zuo 	重做	c=1 d=1 t=60831
chou 	丑	c=1 d=1 t=27152
chou 	臭	c=0 d=0.1 t=27883
chou ku 	愁苦	c=1 d=3.32407e-14 t=96130
chou li 	抽離	c=1 d=1 t=77415
chou lou 	醜陋	c=1 d=1 t=20576
chou mai yu 	臭卖鱼	c=1 d=1 t=27884
chou mi 	稠密	c=1 d=0.763379 t=96130
chou qu 	抽取	c=15 d=1 t=73925
chou shi 	仇視	c=1 d=1 t=55683
chou yang 	抽樣	c=6 d=1.83946 t=93983
chu 	出	c=73 d=0.00200924 t=96130
chu 	初	c=1 d=1 t=78970
chu 	滁	c=1 d=1 t=47526
chu 	處	c=9 d=2.25113 t=87528
chu 	除	c=14 d=7.62276e-18 t=96130
chu bei 	儲備	c=1 d=1 t=46026
chu bu 	初步	c=2 d=1 t=61314
chu chu 	出出	c=2 d=1 t=49903
chu ci zhi wai 	除此之外	c=1 d=1 t=61478
chu cuo 	出錯	c=6 d=1.00858 t=81626
chu du 	出度	c=7 d=1.00544 t=88404
chu dui 	出隊	c=3 d=1.00001 t=88326
